iter	Logloss
0	0.6417407178
1	0.6007985208
2	0.5689800945
3	0.5449026129
4	0.5254750254
5	0.51060697
6	0.4993705663
7	0.4891268276
8	0.4810469796
9	0.4751666167
10	0.4700286728
11	0.4653402075
12	0.4621670583
13	0.4593827662
14	0.4567801767
15	0.4550114432
16	0.4534729301
17	0.4520778842
18	0.4509837351
19	0.450052404
20	0.4492510888
21	0.4484008786
22	0.44779431
23	0.4472729834
24	0.4467443019
25	0.4463882728
26	0.4460226196
27	0.4457269966
28	0.4453899948
29	0.4451380277
30	0.4448725658
31	0.4446372131
32	0.4444114407
33	0.4441656283
34	0.4438381383
35	0.4436688084
36	0.4434881963
37	0.4433461794
38	0.4432091201
39	0.4430862006
40	0.4429383494
41	0.4427027169
42	0.4426108084
43	0.4424821322
44	0.4423715692
45	0.4422701219
46	0.4421647708
47	0.4420729647
48	0.4419418461
49	0.4417228423
50	0.4416185537
51	0.4415403105
52	0.4414489403
53	0.4413580945
54	0.4412884096
55	0.4412063079
56	0.4411227911
57	0.44103923
58	0.4409598449
59	0.4408969603
60	0.440833443
61	0.4407600054
62	0.4407089212
63	0.4406369989
64	0.4405639013
65	0.4404965305
66	0.4403696742
67	0.4403168346
68	0.4402390287
69	0.4401972869
70	0.4401506405
71	0.4400835461
72	0.4400228499
73	0.4399640942
74	0.4399035194
75	0.4398445649
76	0.4397939355
77	0.4397422303
78	0.4396877105
79	0.4396284153
80	0.4395644741
81	0.4395247122
82	0.4394760317
83	0.4394224312
84	0.4393589571
85	0.4392735371
86	0.439222507
87	0.4391919174
88	0.4391451446
89	0.4391002783
90	0.4390560228
91	0.4390255712
92	0.4389896704
93	0.4389375652
94	0.4388937199
95	0.4388385247
96	0.4387686651
97	0.4386654951
98	0.4386197519
99	0.4385814911
100	0.438532125
101	0.4384865844
102	0.4384366654
103	0.4383947765
104	0.4383381682
105	0.4382976753
106	0.438259587
107	0.4382306197
108	0.4381837455
109	0.4381515998
110	0.4380994302
111	0.4380309354
112	0.4379878207
113	0.4379454452
114	0.4379046441
115	0.4378550948
116	0.4378106629
117	0.4377681261
118	0.4377256839
119	0.4376806515
120	0.4376263689
121	0.4375886112
122	0.4375514848
123	0.4375139198
124	0.4374677538
125	0.4374304651
126	0.437378418
127	0.4373267376
128	0.4373008872
129	0.4372600113
130	0.4372181244
131	0.437182832
132	0.4371339465
133	0.4371054658
134	0.4370469308
135	0.4370145006
136	0.4369636359
137	0.4369248136
138	0.4368863958
139	0.4368241339
140	0.4367863529
